,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
1293,prdb-0,US,Finance,null,null,Design Software,null,100000,null,null,1
1297,prdb-4,US,Finance,null,null,Configuration Website,null,0,null,null,1
1310,prdb-17,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1318,prdb-25,US,Finance,null,null,Design Software Configuration Phone,Physical Theft,0,null,null,1
1369,prdb-76,US,Finance,null,null,Physical Documents Configuration Phone,null,0,null,null,1
1377,prdb-84,US,Finance,null,null,Configuration Phone,Physical Theft,0,null,null,1
1388,prdb-95,US,Finance,null,null,Configuration Website,null,11,null,null,1
1396,prdb-103,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1401,prdb-108,US,Finance,null,null,Configuration Phone,null,106,null,null,1
1418,prdb-125,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1429,prdb-136,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1438,prdb-145,US,Finance,null,null,Implementation Email,null,0,null,null,1
1448,prdb-155,US,Finance,null,null,Physical Documents,null,0,null,null,1
1452,prdb-159,US,Finance,null,null,Configuration Website,null,0,null,null,1
1454,prdb-161,US,Finance,null,null,Physical Documents,null,0,null,null,1
1465,prdb-172,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1468,prdb-175,US,Finance,null,null,Implementation Email Configuration Network,null,11,null,null,1
1472,prdb-179,US,Finance,null,null,Configuration Phone Website,null,10000,null,null,1
1502,prdb-209,US,Finance,null,null,Physical Documents,null,0,null,null,1
1511,prdb-218,US,Finance,null,null,Design Software,null,1000000,null,null,1
1513,prdb-220,US,Finance,null,null,Physical Documents,null,0,null,null,1
1533,prdb-240,US,Finance,null,null,Configuration Network,Physical Theft,1100000,null,null,1
1537,prdb-244,US,Finance,null,null,Physical Documents,null,0,null,null,1
1553,prdb-260,US,Finance,null,null,Design Software,null,0,null,null,1
1555,prdb-262,US,Finance,null,null,Physical Documents,Physical Theft,0,null,null,1
1558,prdb-265,US,Finance,null,null,Configuration Website,null,0,null,null,1
1563,prdb-270,US,Finance,null,null,Configuration Website,null,0,null,null,1
1566,prdb-273,US,Finance,null,null,Physical Documents,null,100,null,null,1
1572,prdb-279,US,Finance,null,null,Physical Documents,null,0,null,null,1
1586,prdb-293,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1587,prdb-294,US,Finance,null,null,Design Software,null,0,null,null,1
1593,prdb-300,US,Finance,null,null,Physical Documents,null,0,null,null,1
1597,prdb-304,US,Finance,null,null,Configuration Website,null,0,null,null,1
1598,prdb-305,US,Finance,null,null,Physical Documents,null,0,null,null,1
1600,prdb-307,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1610,prdb-317,US,Finance,null,null,Physical Documents,null,0,null,null,1
1612,prdb-319,US,Finance,null,null,Configuration Phone,Physical Theft,100,null,null,1
1615,prdb-322,US,Finance,null,null,Physical Documents,null,100,null,null,1
1621,prdb-328,US,Finance,null,null,Physical Documents,null,0,null,null,1
1625,prdb-332,US,Finance,null,null,Physical Documents,null,0,null,null,1
1636,prdb-343,US,Finance,null,null,Implementation Email,null,0,null,null,1
1638,prdb-345,US,Finance,null,null,Configuration Phone,Physical Theft,0,null,null,1
1642,prdb-349,US,Finance,null,null,Physical Documents,null,0,null,null,1
1647,prdb-354,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1649,prdb-356,US,Finance,null,null,Physical Documents Configuration Phone,null,0,null,null,1
1651,prdb-358,US,Finance,null,null,Physical Documents Configuration Phone,null,0,null,null,1
1652,prdb-359,US,Finance,null,null,Configuration Network,null,0,null,null,1
1653,prdb-360,US,Finance,null,null,Physical Documents,null,0,null,null,1
1666,prdb-373,US,Finance,null,null,Physical Documents,null,0,null,null,1
1681,prdb-388,US,Finance,null,null,Physical Documents,null,0,null,null,1
1683,prdb-390,US,Finance,null,null,Implementation Email,null,0,null,null,1
1692,prdb-399,US,Finance,null,null,Configuration Network,null,0,null,null,1
1700,prdb-407,US,Finance,null,null,Implementation Malfunction,null,0,null,null,1
1702,prdb-409,US,Finance,null,null,Physical Documents,null,100,null,null,1
1704,prdb-411,US,Finance,null,null,Configuration Website,null,0,null,null,1
1710,prdb-417,US,Finance,null,null,Physical Documents,null,0,null,null,1
1711,prdb-418,US,Finance,null,null,Implementation Email Configuration Website,null,0,null,null,1
1713,prdb-420,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1716,prdb-423,US,Finance,null,null,Design Software,null,0,null,null,1
1717,prdb-424,US,Finance,null,null,Implementation Email Configuration Phone,null,0,null,null,1
1718,prdb-425,US,Finance,null,null,Physical Documents Configuration Phone,Physical Theft,0,null,null,1
1720,prdb-427,US,Finance,null,null,Design Software,null,0,null,null,1
1724,prdb-431,US,Finance,null,null,Implementation Email,null,0,null,null,1
1725,prdb-432,US,Finance,null,null,Configuration Network,null,0,null,null,1
1732,prdb-439,US,Finance,null,null,Implementation Email Configuration Phone,null,0,null,null,1
1736,prdb-443,US,Finance,null,null,Physical Documents,null,0,null,null,1
1738,prdb-445,US,Finance,null,null,Physical Documents,Physical Theft,0,null,null,1
1739,prdb-446,US,Finance,null,null,Implementation Email,null,0,null,null,1
1751,prdb-458,US,Finance,null,null,Physical Documents Implementation Email,null,0,null,null,1
1752,prdb-459,US,Finance,null,null,Implementation Email,null,0,null,null,1
1761,prdb-468,US,Finance,null,null,Implementation Email,null,0,null,null,1
1770,prdb-477,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1771,prdb-478,US,Finance,null,null,Configuration Network,null,0,null,null,1
1773,prdb-480,US,Finance,null,null,Configuration Network,null,1000000,null,null,1
1775,prdb-482,US,Finance,null,null,Physical Documents,null,0,null,null,1
1779,prdb-486,US,Finance,null,null,Design Web application Implementation Email,null,0,null,null,1
1782,prdb-489,US,Finance,null,null,Physical Documents,Physical Loss Theft,0,null,null,1
1787,prdb-494,US,Finance,null,null,Physical Documents Implementation Email,null,0,null,null,1
1791,prdb-498,US,Finance,null,null,Configuration Phone,Spoof Phishing,0,null,null,1
1792,prdb-499,US,Finance,null,null,Physical Documents,null,0,null,null,1
1793,prdb-500,US,Finance,null,null,Configuration Website,null,0,null,null,1
1794,prdb-501,US,Finance,null,null,Configuration Website,null,0,null,null,1
1796,prdb-503,US,Finance,null,null,Configuration Phone Network,null,0,null,null,1
1797,prdb-504,US,Finance,null,Information Exchange Spam,Implementation Email,null,0,null,null,1
1798,prdb-505,US,Finance,null,null,Configuration Network,null,0,null,null,1
1799,prdb-506,US,Finance,null,null,Implementation Email,null,0,null,null,1
1801,prdb-508,US,Finance,null,null,Configuration Website,null,0,null,null,1
1805,prdb-512,US,Finance,null,null,Configuration Network,null,0,null,null,1
1807,prdb-514,US,Finance,null,null,Configuration Network,null,0,null,null,1
1810,prdb-517,US,Finance,null,null,Configuration Network,null,0,null,null,1
1814,prdb-521,US,Finance,null,null,Configuration Website,null,0,null,null,1
1817,prdb-524,US,Finance,null,null,Configuration Website,null,0,null,null,1
1821,prdb-528,US,Finance,null,null,Design Programming error Implementation Email Configuration Website,null,0,null,null,1
1828,prdb-535,US,Finance,null,null,Design Software Configuration Website,null,0,null,null,1
1833,prdb-540,US,Finance,null,null,Implementation Email,null,0,null,null,1
1841,prdb-548,US,Finance,null,null,Physical Documents,null,0,null,null,1
1845,prdb-552,US,Finance,null,null,Implementation Email Configuration Phone Website,Physical Theft,0,null,null,1
1848,prdb-555,US,Finance,null,null,Implementation Email Configuration Website,null,0,null,null,1
1850,prdb-557,US,Finance,null,null,Implementation Email,Physical Theft,0,null,null,1
1852,prdb-559,US,Finance,null,null,Implementation SMS,null,0,null,null,1
1853,prdb-560,US,Finance,null,null,Implementation SMS,null,0,null,null,1
1854,prdb-561,US,Finance,null,null,Implementation Email SMS,null,0,null,null,1
1855,prdb-562,US,Finance,null,null,Configuration Network,null,0,null,null,1
1857,prdb-564,US,Finance,null,null,Implementation SMS,null,0,null,null,1
1858,prdb-565,US,Finance,null,Information Exchange Spam,Physical Documents Implementation Email,null,11,null,null,1
1860,prdb-567,US,Finance,null,null,Configuration Phone,Spoof Scam,0,null,null,1
1866,prdb-573,US,Finance,null,null,Configuration Website,null,0,null,null,1
1868,prdb-575,US,Finance,null,null,Implementation Email,null,0,null,null,1
1871,prdb-578,US,Finance,null,null,Implementation Email,Spoof Scam,0,null,null,1
1876,prdb-583,US,Finance,null,null,Design Software Implementation Email Configuration Phone,null,0,null,null,1
1877,prdb-584,US,Finance,null,null,Configuration Website Misconfiguration,null,0,null,null,1
1878,prdb-585,US,Finance,null,null,Implementation Email SMS Configuration Network,Spoof Phishing,0,null,null,1
1879,prdb-586,US,Finance,null,null,Implementation SMS,null,0,null,null,1
1880,prdb-587,US,Finance,null,null,Implementation Email,null,0,null,null,1
1881,prdb-588,US,Finance,null,null,Configuration Network,null,0,null,null,1
1884,prdb-591,US,Finance,null,null,Implementation SMS Configuration Website,null,0,null,null,1
1886,prdb-593,US,Finance,null,null,Physical Documents,null,0,null,null,1
1891,prdb-598,US,Finance,null,null,Implementation Email,null,0,null,null,1
1892,prdb-599,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1894,prdb-601,US,Finance,null,null,Implementation Email,null,1100000,null,null,1
1897,prdb-604,US,Finance,null,null,Design Software Implementation Email,null,0,null,null,1
1898,prdb-605,US,Finance,null,null,Configuration Phone,Physical Theft,0,null,null,1
1899,prdb-606,US,Finance,null,null,Implementation Email,null,0,null,null,1
1902,prdb-609,US,Finance,null,null,Implementation Email,null,0,null,null,1
1903,prdb-610,US,Finance,null,null,Implementation Email,null,0,null,null,1
1906,prdb-613,US,Finance,null,null,Configuration Phone,Physical Theft,0,null,null,1
1910,prdb-617,US,Finance,null,null,Implementation Email,null,0,null,null,1
1916,prdb-623,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1917,prdb-624,US,Finance,null,null,Configuration Phone,Physical Theft,0,null,null,1
1921,prdb-628,US,Finance,null,null,Implementation Email,null,0,null,null,1
1928,prdb-635,US,Finance,null,null,Physical Documents Design Software Configuration Website,Physical Theft,0,null,null,1
1933,prdb-640,US,Finance,null,null,Physical Documents,null,0,null,null,1
1937,prdb-644,US,Finance,null,null,Implementation Email,Spoof Phishing,0,null,null,1
1938,prdb-645,US,Finance,null,null,Physical Documents Implementation Email Configuration Website,Spoof Phishing,0,null,null,1
1942,prdb-649,US,Finance,null,null,Implementation Email Configuration Phone,null,0,null,null,1
1944,prdb-651,US,Finance,null,null,Configuration Website,null,0,null,null,1
1945,prdb-652,US,Finance,null,null,Physical Documents,null,0,null,null,1
1946,prdb-653,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1947,prdb-654,US,Finance,null,null,Implementation Email Configuration Phone Website,null,0,null,null,1
1952,prdb-659,US,Finance,null,null,Configuration Website,null,0,null,null,1
1953,prdb-660,US,Finance,null,Script or Program Ransomware,Configuration Phone Network,null,0,null,null,1
1954,prdb-661,US,Finance,null,null,Implementation Email,Physical Theft,0,null,null,1
1956,prdb-663,US,Finance,null,Information Exchange Spam,Implementation Email,null,0,null,null,1
1957,prdb-664,US,Finance,null,null,Design Software Configuration Phone,null,0,null,null,1
1958,prdb-665,US,Finance,null,null,Physical Documents,null,0,null,null,1
1963,prdb-670,US,Finance,null,null,Implementation Email,Spoof Phishing,0,null,null,1
1964,prdb-671,US,Finance,null,null,Design Software,null,0,null,null,1
1965,prdb-672,US,Finance,null,null,Configuration Website,null,0,null,null,1
1967,prdb-674,US,Finance,null,null,Design Software,null,0,null,null,1
1968,prdb-675,US,Finance,null,null,Implementation Email,null,0,null,null,1
1969,prdb-676,US,Finance,null,null,Implementation Email,null,0,null,null,1
1972,prdb-679,US,Finance,null,null,Physical Documents Implementation Email Configuration Network,Spoof Phishing,0,null,null,1
1976,prdb-683,US,Finance,null,Script or Program Ransomware,Configuration Network,null,0,null,null,1
1980,prdb-687,US,Finance,null,null,Design Software Configuration Network,null,0,null,null,1
1982,prdb-689,US,Finance,null,null,Configuration Network,null,0,null,null,1
1984,prdb-691,US,Finance,null,null,Physical Documents,null,0,null,null,1
1985,prdb-692,US,Finance,null,null,Physical Documents Configuration Network Misconfiguration,null,0,null,null,1
1986,prdb-693,US,Finance,null,null,Implementation Email,Spoof Phishing,0,null,null,1
1987,prdb-694,US,Finance,null,null,Physical Documents Design Software Implementation Email Configuration Phone,null,0,null,null,1
1988,prdb-695,US,Finance,null,null,Physical Documents Design Software Implementation Email Configuration Phone,null,0,null,null,1
1990,prdb-697,US,Finance,null,null,Configuration Phone Network,null,0,null,null,1
1994,prdb-701,US,Finance,null,null,Configuration Network,null,0,null,null,1
1997,prdb-704,US,Finance,null,null,Configuration Phone,null,0,null,null,1
1999,prdb-706,US,Finance,null,null,Implementation Email,Spoof Phishing,0,null,null,1
2001,prdb-708,US,Finance,null,null,Implementation Email,null,0,null,null,1
2003,prdb-710,US,Finance,null,Information Exchange Spam,Physical Documents Implementation Email Configuration Website,null,0,null,null,1
2004,prdb-711,US,Finance,null,null,Physical Documents Implementation Email Configuration Phone Network,null,0,null,null,1
2005,prdb-712,US,Finance,null,null,Physical Documents,null,0,null,null,1
2008,prdb-715,US,Finance,null,null,Design Software Configuration Website,Physical Theft,0,null,null,1
2037,prdb-744,US,Finance,null,null,Implementation Email,Spoof Phishing,109,null,null,1
2087,prdb-794,US,Telecommunications,null,null,Implementation Email,null,0,null,null,1
2103,prdb-810,US,Manufacturing,null,null,Implementation Email,Physical Theft,100,null,null,1
2108,prdb-815,US,Event Organizers,null,null,Implementation Email Configuration Phone,null,0,null,null,1
2109,prdb-816,US,Utilities,null,null,Physical Documents,null,0,null,null,1
2112,prdb-819,US,Publisher,null,null,Configuration Phone,null,0,null,null,1
2164,prdb-871,US,Information Technology,null,null,Physical Documents,null,0,null,null,1
2175,prdb-882,US,Publisher,null,null,Configuration Website,null,0,null,null,1
2177,prdb-884,US,Information Technology,null,null,Configuration Network,null,0,null,null,1
2192,prdb-899,US,Information Technology,null,null,Configuration Phone,null,0,null,null,1
2198,prdb-905,US,Information Technology,null,null,Implementation Email Configuration Phone,null,0,null,null,1
2208,prdb-915,US,Telecommunications,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2209,prdb-916,US,Real Estate,null,null,Configuration Phone,null,0,null,null,1
2210,prdb-917,US,Telecommunications,null,null,Implementation Email,null,0,null,null,1
2215,prdb-922,US,Consulting Services,null,null,Physical Documents Partner,null,0,null,null,1
2221,prdb-928,US,Information Technology,null,null,Design Software Configuration Phone,null,0,null,null,1
2251,prdb-958,US,Legal Services,null,null,Physical Documents,null,0,null,null,1
2266,prdb-973,US,Information Technology,null,null,Implementation Email Configuration Phone Website,null,0,null,null,1
2269,prdb-976,US,Oil and Gas,null,null,Implementation Email,null,0,null,null,1
2271,prdb-978,US,Real Estate,null,null,Configuration Phone,null,0,null,null,1
2273,prdb-980,US,Associations,null,null,Design Software,null,0,null,null,1
2276,prdb-983,US,Information Technology,null,null,Design Software,null,0,null,null,1
2279,prdb-986,US,Information Technology,null,null,Physical Documents,null,0,null,null,1
2280,prdb-987,US,Telecommunications,null,null,Configuration Phone,null,0,null,null,1
2288,prdb-995,US,Real Estate,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2289,prdb-996,US,Telecommunications,null,null,Physical Documents,null,0,null,null,1
2293,prdb-1000,US,Employment Services,null,null,Implementation Email Configuration Phone,null,0,null,null,1
2297,prdb-1004,US,Employment Services,null,null,Physical Documents,null,0,null,null,1
2300,prdb-1007,US,Finance,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2315,prdb-1022,US,Information Technology,null,null,Configuration Phone,null,0,null,null,1
2317,prdb-1024,US,Information Technology,null,null,Implementation Email Configuration Phone,null,0,null,null,1
2321,prdb-1028,US,Telecommunications,null,null,Configuration Phone,null,0,null,null,1
2330,prdb-1037,US,Consulting Services,null,null,Configuration Network,null,0,null,null,1
2339,prdb-1046,US,Telecommunications,null,null,Physical Documents,null,0,null,null,1
2343,prdb-1050,US,Tourism,null,null,Implementation Email,null,110000,null,null,1
2345,prdb-1052,US,Information Technology,null,null,Design Software,null,1017,null,null,1
2349,prdb-1056,US,Telecommunications,null,null,Configuration Phone,null,0,null,null,1
2350,prdb-1057,US,Insurance,null,null,Configuration Website,null,0,null,null,1
2353,prdb-1060,US,Entertainment,null,null,Implementation Email,null,1000,null,null,1
2359,prdb-1066,US,Information Technology,null,Physical Attack Tampering Script or Program Extortion,Implementation Email,null,0,null,null,1
2363,prdb-1070,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2366,prdb-1073,US,Real Estate,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2368,prdb-1075,US,Tourism,null,null,Design Software,null,0,null,null,1
2369,prdb-1076,US,Employment Services,null,null,Implementation Email,null,0,null,null,1
2371,prdb-1078,US,Finance,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2372,prdb-1079,US,Tourism,null,null,Implementation Email,null,0,null,null,1
2379,prdb-1086,US,Entertainment,null,null,Configuration Website,null,100000,null,null,1
2385,prdb-1092,US,Information Technology,null,null,Configuration Phone,null,0,null,null,1
2386,prdb-1093,US,Legal Services,null,null,Physical Documents,null,0,null,null,1
2389,prdb-1096,US,Sport,null,null,Physical Documents,null,0,null,null,1
2391,prdb-1098,US,Entertainment,null,null,Implementation Email Configuration Phone Website,null,1000000,null,null,1
2392,prdb-1099,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2394,prdb-1101,US,Sport,null,null,Physical Documents,null,0,null,null,1
2400,prdb-1107,US,Entertainment,null,null,Configuration Website,null,0,null,null,1
2412,prdb-1119,US,Legal Services,null,null,Configuration Phone,null,0,null,null,1
2416,prdb-1123,US,Manufacturing,null,null,Physical Documents,null,0,null,null,1
2428,prdb-1135,US,Telecommunications,null,null,Configuration Phone,null,0,null,null,1
2429,prdb-1136,US,Information Technology,null,null,Implementation Email Configuration Website,Spoof Phishing,10000,null,null,1
2434,prdb-1141,US,Other Services,null,null,Configuration Phone,null,0,null,null,1
2436,prdb-1143,US,Other Services,null,null,Implementation Email Configuration Phone Website,null,0,null,null,1
2444,prdb-1151,US,Employment Services,null,null,Physical Documents Implementation Email Configuration Phone,null,0,null,null,1
2448,prdb-1155,US,Information Technology,null,Script or Program Backdoor,Configuration Website,Spoof Scam,0,null,null,1
2451,prdb-1158,US,Information Technology,null,null,Implementation Email Configuration Network Website,null,0,null,null,1
2457,prdb-1164,US,Sport,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2464,prdb-1171,US,Utilities,null,null,Configuration Phone,null,100,null,null,1
2468,prdb-1175,US,Associations,null,null,Design Web application,null,0,null,null,1
2470,prdb-1177,US,Entertainment,null,null,Implementation Email,null,0,null,null,1
2472,prdb-1179,US,Information Technology,null,null,Implementation Email,null,10704,null,null,1
2477,prdb-1184,US,Engineering Services,null,null,Implementation Email,null,0,null,null,1
2478,prdb-1185,US,Civil Services,null,null,Implementation Email,null,0,null,null,1
2485,prdb-1192,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2487,prdb-1194,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2488,prdb-1195,US,Information Technology,null,null,Design Software,null,0,null,null,1
2500,prdb-1207,US,Manufacturing,null,null,Configuration Website,null,0,null,null,1
2504,prdb-1211,US,Printing Services,null,null,Implementation Email Configuration Website,null,0,null,null,1
2506,prdb-1213,US,Information Technology,null,null,Physical Documents Implementation Email Configuration Network,null,0,null,null,1
2507,prdb-1214,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2511,prdb-1218,US,Delivery Services,null,null,Implementation Email Configuration Website,null,1134,null,null,1
2513,prdb-1220,US,Tourism,null,null,Implementation Email,null,0,null,null,1
2514,prdb-1221,US,Information Technology,null,null,Implementation Email Configuration Network,null,0,null,null,1
2516,prdb-1223,US,Real Estate,null,null,Implementation Email,null,0,null,null,1
2517,prdb-1224,US,Construction,null,null,Physical Documents,null,0,null,null,1
2519,prdb-1226,US,Delivery Services,null,null,Physical Documents,null,100,null,null,1
2520,prdb-1227,US,Information Technology,null,null,Design Software Configuration Website,null,0,null,null,1
2522,prdb-1229,US,Information Technology,null,null,Implementation Email Configuration Phone,null,1000,null,null,1
2526,prdb-1233,US,Government,null,null,Design Software,Physical Theft,0,null,null,1
2530,prdb-1237,US,Legal Services,null,null,Physical Documents Configuration Phone,null,0,null,null,1
2534,prdb-1241,US,Information Technology,null,null,Configuration Phone Network,null,0,null,null,1
2535,prdb-1242,US,Publisher,null,null,Configuration Website,null,0,null,null,1
2536,prdb-1243,US,Information Technology,null,null,Configuration Website,null,0,null,null,1
2537,prdb-1244,US,Information Technology,null,null,Configuration Website,null,0,null,null,1
2539,prdb-1246,US,Information Technology,null,null,Design Web application Software,null,0,null,null,1
2542,prdb-1249,US,Entertainment,null,null,Implementation Social media,null,0,null,null,1
2548,prdb-1255,US,Entertainment,null,null,Implementation Email,Physical Theft,0,null,null,1
2552,prdb-1259,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
2553,prdb-1260,US,Information Technology,null,null,Implementation Email,null,0,null,null,1
